Timestamp,Brewery Name,Beer Name,Opacity,Taste,Body,Carbonation,Bitterness ,Alcohol %,Beer Style,Colour,
4/11/2016 22:18:26,Black oak brewery ,Nut Brown ,Clear,"Malty, Chocolatey, Nutty","Medium, Rich, Smooth",Medium,4,5,Brown Ale,Brown,
4/14/2016 10:21:25,Pitchfork Brewing,Straw German Pilsner,Clear,"Light/crisp, Flowery",Medium,Medium,4,6,Lager,Yellow,
4/14/2016 11:33:09,Halo Brewery,Magic Missile,Cloudy,"Fruity, Hoppy, Malty",Medium,Medium,5,5.5,Pale Ale,Yellow,
4/14/2016 11:40:35,Halo Brewery,RGBee,Clear,"Orange, Sweet, Flowery, Spiced, Slight alcohol warming","Medium, Dry, Smooth",High,3,9,Triple with honey and chamomile,Yellow,
4/14/2016 11:42:11,Halo Brewery,The Final Straw,Cloudy,"Light/crisp, Fruity, Malty, Flowery, Spiced, Tangy","Medium, Smooth",Medium,3,6,Witbier with strawberry and rosehips,"Yellow, Amber",
4/14/2016 11:44:23,Halo Brewery,Double Lucky,Clear,"Fruity, Bitter, Hoppy, Spiced",Medium,Medium,6,7,Mango-Pine IPA,"Yellow, Amber",
4/19/2016 20:11:14,Longslice Brewery,Hopsta La Vista,Cloudy,"Fruity, Orange, Bitter, Hoppy, Malty, Flowery","Medium, Smooth",Medium,7,6.5,IPA,Red,
4/19/2016 20:12:43,Longslice Brewery,Loose Lips Lager,Clear,Light/crisp,"Dry, Smooth",Medium,1,5,Lager,"Amber, Golden",
4/20/2016 11:32:50,MacLean's Ales Inc.,MacLean's Pale ale,Clear,"Bitter, Hoppy, Malty",Medium,Medium,6,5.2,Pale Ale,Amber,
4/20/2016 12:24:09,Block Three Brewing Co.,King Street Saison,Cloudy,"Fruity, Citron, Spicy",Light,Medium,2,4.6,Belgian Saison,Yellow,
4/20/2016 12:25:29,Block Three Brewing Co.,Beauty and the Belgian,Cloudy,"Fruity, Citron, Spicy",Medium,Medium,2,6.3,Belgian Amber Ale,Amber,
4/20/2016 12:37:06,Boshkung Brewing co,35 & 118 cream ale ,Clear,Light/crisp,Light,Medium,3,5,Cream Ale,Yellow,
4/20/2016 13:19:44,Gananoque Brewing Company,Naughty Otter Lager,Clear,Light/crisp,Light,Medium,5,5.2,Lager,"Yellow, Light, clear",
4/20/2016 13:22:14,Gananoque Brewing Company,Coopers Hawk Pale Ale,Clear,"Light/crisp, Fruity, Citron, Bitter, Sweet, Hoppy",Light,Medium,7,4.2,American Pale Ale,Golden,
4/20/2016 13:24:19,Gananoque Brewing Company,Black Bear Bock,Opaque,"Sweet, Caramel, Chocolatey, Coffee, Roasted","Full, Rich, Smooth",Low,4,6.9,Bock,"Brown, Black",
4/20/2016 13:25:30,Gananoque Brewing Company,Bell Ringer IPA,"Clear, Cloudy","Fruity, Citron, Bitter, Hoppy","Light, Medium",Medium,9,6.5,IPA,Yellow,
4/20/2016 18:20:17,Double Trouble brewing,Hops and Robbers,Clear,"Light/crisp, Fruity, Citron, Bitter, Sweet, Hoppy, Malty, Flowery, Tangy",Medium,Medium,6,5.7,IPA,Golden,
4/21/2016 11:25:49,Lake of Bays Brewing Company,Spark House,Clear,"Malty, Caramel",Medium,Medium,4,5,Red Ale,Red,
4/21/2016 11:26:43,Lake of Bays Brewing Company,Rock Cut,Clear,Light/crisp,Light,Medium,1,4.2,Lager,Yellow,
4/21/2016 11:27:49,Lake of Bays Brewing Company,Crosswind,"Clear, Cloudy","Light/crisp, Citron, Hoppy, Malty",Medium,Medium,3,5,Pale Ale,Yellow,
4/21/2016 11:33:23,Lake of Bays Brewery,10 Point,"Clear, Cloudy","Citron, Hoppy, Toffee, pine, black licorice",Medium,Medium,5,6,IPA,"Amber, Red",
