"","Brewery Name","Beer Name","Bitterness","Alcohol %","Beer Style","Opacity.Clear","Opacity.Cloudy","Opacity.Opaque","Taste.Malty","Taste.Chocolatey","Taste.Nutty","Taste.Light/crisp","Taste.Flowery","Taste.Fruity","Taste.Hoppy","Taste.Orange","Taste.Sweet","Taste.Spiced","Taste.Tangy","Taste.Bitter","Taste.Citron","Taste.Spicy","Taste.Caramel","Taste.Coffee","Taste.Roasted","Taste.Toffee","Taste.pine","Taste.Pumpkin","Taste.Vanilla","Taste.Smokey","Taste.Molasses","Taste.Sour","Body.Medium","Body.Rich","Body.Smooth","Body.Dry","Body.Light","Body.Full","Body.Unfiltered","Carbonation.Medium","Carbonation.High","Carbonation.Low","Colour.Brown","Colour.Yellow","Colour.Amber","Colour.Red","Colour.Golden","Colour.Light","Colour.Black","Colour.Mahogany"
"1","Black oak brewery","Nut Brown",4,5,"Brown Ale","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"2","Pitchfork Brewing","Straw German Pilsner",4,6,"Lager","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"3","Halo Brewery","Magic Missile",5,5.5,"Pale Ale","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"4","Halo Brewery","RGBee",3,9,"Triple with honey and chamomile","1","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"5","Halo Brewery","The Final Straw",3,6,"Witbier with strawberry and rosehips","0","1","0","1","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"6","Halo Brewery","Double Lucky",6,7,"Mango-Pine IPA","1","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"7","Longslice Brewery","Hopsta La Vista",7,6.5,"IPA","0","1","0","1","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"8","Longslice Brewery","Loose Lips Lager",1,5,"Lager","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"9","MacLean's Ales Inc.","MacLean's Pale ale",6,5.2,"Pale Ale","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"10","Block Three Brewing Co.","King Street Saison",2,4.6,"Belgian Saison","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"11","Block Three Brewing Co.","Beauty and the Belgian",2,6.3,"Belgian Amber Ale","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"12","Boshkung Brewing co","35 & 118 cream ale",3,5,"Cream Ale","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"13","Gananoque Brewing Company","Naughty Otter Lager",5,5.2,"Lager","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0"
"14","Gananoque Brewing Company","Coopers Hawk Pale Ale",7,4.2,"American Pale Ale","1","0","0","0","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"15","Gananoque Brewing Company","Black Bear Bock",4,6.9,"Bock","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0"
"16","Gananoque Brewing Company","Bell Ringer IPA",9,6.5,"IPA","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"17","Double Trouble brewing","Hops and Robbers",6,5.7,"IPA","1","0","0","1","0","0","1","1","1","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"18","Lake of Bays Brewing Company","Spark House",4,5,"Red Ale","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"19","Lake of Bays Brewing Company","Rock Cut",1,4.2,"Lager","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"20","Lake of Bays Brewing Company","Crosswind",3,5,"Pale Ale","1","1","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"21","Lake of Bays Brewery","10 Point",5,6,"IPA","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0"
"22","Lake of Bays Brewery","Wild North Pumpkin Ale",1,6,"Flavoured Ale","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"23","Lake of Bays Brewery","Wild North Midnight Bock",3,5.5,"Bock","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0"
"24","Beau's All Natural","Lug Tread",1,5.2,"Lager","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"25","Brimstone Brewing Co.","Sinister Minister",7,7.5,"IPA","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1"
"26","Brimstone Brewing Co.","Enlightenment",3,5.5,"Blonde Ale","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"27","Brimstone Brewing Co.","Midnight Mass",3,6.6,"Chicory Oatmeal Stout","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0"
"28","High Park","Across the Pond",5,5.5,"English Special Ale","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"29","Niagara Brewing Company","Niagara Premium Lager",2,4.5,"Lager","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"30","Sleeping Giant Brewing Co.","Northern Logger",3,4.9,"Blonde Ale","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0"
"31","Whitewater Brewing Company","Farmer's Daughter",2,5,"Blonde Ale","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"32","Whitewater Brewing Company","Whistling Paddler",4,4.5,"ESB","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"33","Whitewater Brewing Company","Class V",8,5.5,"IPA","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"34","Whitewater Brewing Company","Midnight Stout",2,4.5,"oatmeal mild stout","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"35","MacLean's Ales","MacLean's Pale Ale",6,5.2,"Pale Ale","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"36","MacLean's Ales","MacLean's Farmhouse Blonde",4,4.8,"Blonde Ale","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"37","MacLean's Ales","MacLean's IPA",9,6.5,"IPA","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"38","MacLean's Ales","Armchair Scotch Ale",5,7.5,"Scotch Ale","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0"
"39","MacLean's Ales","Luck & Charm Oatmeal Stout",5,5.6,"Stout","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"40","MacLean's Ales","Old Angus",5,6.2,"Brown Ale","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0"
"41","Nickel Brook Brewing Co.","Head Stock",8,7,"IPA","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0"
"42","Railway City Brewing Company","Dead Elephant Ale",7,6.5,"IPA","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0"
"43","Silversmith Brewing Co","The Black Lager",4,5,"Black Lager (Schwarzbier)","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0"
"44","Muskoka Brewery","Cream Ale",3,5,"British style Pale Ale","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"45","Muskoka Brewery","Detour",4,4.3,"Sessionable IPA","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"46","Muskoka Brewery","Mad Tom",8,6.4,"IPA","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"47","Muskoka Brewery","Craft Lager",2,4.8,"Lager","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0"
"48","Muskoka Brewery","Twice as Mad Tom",7,8.4,"Imperial IPA","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"49","Muskoka Brewery","Summerweiss",2,5,"Hefeweizen","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"50","Nickel Brook Brewing Co.","Headstock IPA",6,7,"IPA","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","0","0"
"51","Nickel Brook Brewing Co.","Naughty Neighbour",4,4.9,"American Pale Ale (APA)","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"52","Nickel Brook Brewing Co.","Immodest Imperial IPA",7,9,"IPA","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0"
"53","Nickel Brook Brewing Co.","Uber Berliner Weisse",3,3.8,"Berliner Weisse","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0"
"54","High Park Brewery","Off the Leash",6,6.5,"IPA","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0"
